u32MinCallPeriod,u32MaxCallPeriod,u32AvgCallPeriod,u32TotalExecutionTime,u32Executions,u32MinExecutionTime,u32MaxExecutionTime,LastTimestampOccurrence,u8LastOverflowOccurrence,u8TaskId,
23,181042,107,26945962,1839665,8,878,44132,241,1,TaskName:Scheudler
313,181240,734,38683375,341097,57,1516,44256,241,10,TaskName:IdleTask
299,181297,744,111762438,341096,130,1953,44835,241,254,TaskName:CPUTractTask
24463,201677,25321,19716986,11264,1516,2425,55785,241,20,TaskName:DATCVTTask
49486,252234,50387,112388,5631,14,565,28211,240,31,TaskName:TOSClockTask
47333,253160,50215,806284,5631,56,744,23894,240,19,TaskName:DATANATask
96638,205508,100703,4033111,2817,43,2124,3042,240,12,TaskName:GraphEngineTask
402898,497964,403296,15939,704,16,65,28366,235,11,TaskName:DATCpuRefreshWatchDogTask
257,14111591,657,486768,1051,54,1459,30462,218,17,TaskName:DATDiiTask
4294967295,0,4294967295,35,1,35,35,43335,13,255,TaskName:error
2139,103397,5036,8749328,56192,120,781,45173,241,103,TaskName:MOTOR
49485,145276,50386,1831702,5618,227,956,28175,240,30,TaskName:DATModTask
49279,145302,50386,628071,5618,78,696,27759,240,28,TaskName:DATCnmTick
47421,146080,50236,1177336,5618,132,814,24145,240,21,TaskName:LAPAbsAsrProTask
46372,146310,50184,1284198,5618,179,846,23705,240,14,TaskName:DATDouRefreshOutputTask
46348,146338,50164,322102,5618,37,654,23423,240,13,TaskName:DATBlkTask
201137,296845,201702,495600,1405,299,961,53304,240,29,TaskName:LAPMmiTask
201163,296862,201685,98635,1405,52,130,52867,240,26,TaskName:DATPanTask
201158,296867,201671,42180,1405,24,572,52776,240,18,TaskName:DATBatTask
96690,200304,100676,123871,2809,31,627,3284,240,16,TaskName:DATEepTask
96686,200306,100663,149398,2809,39,624,3221,240,15,TaskName:DATDinReadTask
49149,145376,50391,9035989,5616,49,4292,27576,240,23,TaskName:DATPnlTask
23608,264876,264286,43085,1073,37,584,9044,239,106,TaskName:CVTTimeout
806066,901740,806723,48078,351,115,315,33340,232,27,TaskName:STK_CXDR_Stpr_Task
2009965,2520949,2520545,10954,113,88,115,19262,235,102,TaskName:RTC
2016212,2521715,2520844,10403,113,72,670,1965,235,22,TaskName:DATRtcTask
135,4985748,741954,21633,178,25,225,12401,229,25,TaskName:DATCdlCANTransmissionTask
706,103095,1215,6288849,187969,26,37081,45370,241,104,TaskName:Speed
42,1049,200,35602177,1136669,24,583,44206,241,105,TaskName:Tacho
4294967295,0,4294967295,0,0,4294967295,0,0,0,0,TaskName:MainLoop
4294967295,0,4294967295,0,0,4294967295,0,0,0,0,TaskName:MainLoop
4294967295,0,4294967295,0,0,4294967295,0,0,0,0,TaskName:MainLoop
4294967295,0,4294967295,0,0,4294967295,0,0,0,0,TaskName:MainLoop
4294967295,0,4294967295,0,0,4294967295,0,0,0,0,TaskName:MainLoop
